Order,Species,MCAll,MCp,MCpf,MCc,MCg,MCh,AlloAll,SM,BMf,LT,GT,IBI,BMn,BMw,BMin,LS,LpY,ML,NoC
Artiodactyla,Bos_grunniens,0,0,0,0,0,0,0,0,306196.3434,243.3299999,273.7500001,NA,17988.70915,NA,NA,1,1,25.00000002,2097
Artiodactyla,Bos_taurus,0,0,0,0,0,0,1,0,483058.802,NA,280.4800002,NA,28379.19028,NA,NA,1,1,NA,744410
Pilosa,Bradypus_torquatus,0,0,0,0,0,0,0,0,5370.829999,28.27999999,150,NA,NA,1468.310001,1468.310001,1,NA,12,47
Primates,Bunopithecus_hoolock,0,0,0,0,0,0,0,1,6245.000004,635.1300002,232.4999999,NA,NA,NA,NA,1.010000001,NA,NA,91
Primates,Callicebus_moloch,1,0,0,1,0,0,0,1,955.9999994,58.84999998,164,364.9999996,74.40000008,NA,NA,1.010000001,0.986301369,26.19999998,207
Primates,Callicebus_ornatus,1,0,0,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
Primates,Callicebus_torquatus,1,0,0,1,0,0,1,1,1258.5,121.66,NA,NA,NA,NA,NA,1.010000001,NA,NA,75
Primates,Callimico_goeldii,1,1,0,1,1,0,1,0,468.5000052,69.99999355,154.1700453,184.7498098,51.44999999,120.0199999,68.57000008,1,1.948581168,17.9,272
Primates,Callithrix_argentata,1,0,0,1,0,0,1,1,346.5,NA,NA,219.6000001,35.80000003,NA,NA,1.84,1.639344262,16.80000001,73
Primates,Callithrix_aurita,1,1,0,1,0,0,0,1,NA,NA,140.0000001,NA,NA,NA,NA,2.000000002,NA,NA,42
Primates,Callithrix_geoffroyi,1,0,0,1,0,0,0,1,274.5000001,NA,NA,NA,NA,NA,NA,NA,NA,17.60000001,132
Primates,Callithrix_jacchus,1,0,0,1,0,0,1,1,287.0000022,64.66667036,143.8798578,158.9999545,27.99999998,96.81999993,68.81999995,2.375,2.264151593,16.00000001,11816
Primates,Callithrix_kuhlii,1,1,0,1,0,0,0,1,244.4999997,NA,NA,NA,NA,NA,NA,NA,NA,20.00000002,82
Primates,Callithrix_pygmaea,1,1,0,1,1,0,1,1,121.9999914,152.0833254,133.6595517,182.5000551,14.54999999,70,55.45000007,2.009999998,1.972602145,18.59999999,123
Carnivora,Callorhinus_ursinus,0,0,0,0,0,0,0,0,43375.00122,106.4583425,358.0964371,365.0001139,5400.000002,11231.05999,5831.059997,1,0.5,NA,930
Rodentia,Calomys_callosus,0,0,0,0,0,0,0,0,41.00000003,18.33,21.80000002,21.00000001,2.400000002,12.05,9.649999992,4.909999999,3.000000002,NA,256
Rodentia,Calomys_musculinus,0,0,0,0,0,0,0,0,20.02500001,NA,20.96999998,NA,NA,NA,NA,6.270000002,NA,NA,251
Didelphimorphia,Caluromys_philander,0,0,0,0,0,0,0,0,243.5000193,119.9999873,23.98832919,166.4999088,0.2,23,22.8,4.184999997,2.000000002,6.299999993,127
Artiodactyla,Camelus_dromedarius,0,0,0,0,0,0,0,0,449999.9857,404.9999784,386.3669771,535.3329805,37149.99999,NA,NA,1,1,39.99999997,7138
Carnivora,Canis_aureus,1,1,1,0,0,0,1,1,8786.666663,60.00000685,61.23503917,365.0001139,211.8750002,NA,NA,4.500000002,0.986301063,16.00000001,393
Carnivora,Canis_latrans,1,1,1,0,0,0,1,1,9699.999235,45.50000035,61.51768727,365.0001139,201.3999999,NA,NA,5.999999995,0.986301063,21.80000002,6901
